order_id,seller_id,customer_id,category,order_date,order_value,quantity
O0022060,S0030,C001861,Grocery,06/30/2025,26.36,2
O0039792,S0056,C001626,Automotive,2024-08-13,57.05,3
O0016883,S0023,C020728,Automotive,2025-12-15,23.5,1
O0011945,S0017,C018737,Fashion,03/28/2025,30.25,2
O0039458,S0055,C008610,Books,2025-03-10,38.95,2
O0005081,S0009,C015353,Electronics,2024-01-26,$19.03,1
O0017362,S0024,C000955,Grocery,01-Aug-2025,57.13,1
O0043114,S0060,C011729,Books,2025-12-09,10.21,2
O0035672,S0050,C000961,Fashion,2025-01-10,100.18,1
O0018770,S0027,C011942,Toys,19-Jan-2024,18.22,2
O0024447,S0034,C013542,Beauty,2024-02-14,34.16,3
O0017550,S0025,C019254,Automotive,2024-04-29,46.47,1
O0034563,S0049,C021491,Pet Supplies,2024-01-24,$41.12,4
O0023869,S0033,C022012,Grocery,2024-06-19,49.67,2
O0002139,S0004,C019430,Electronics,2024-06-24,9.04,4
O0028039,S0038,C013544,Grocery,2025-07-27,23.09,3
O0017608,S0025,C016814,Automotive,2024-06-22,$51.37,3
O0004935,S0008,C024083,Pet Supplies,2025-06-10,50.43,2
O0000707,S0002,C003756,Home & Kitchen,2024-09-07,137.98,2
O0026143,S0036,C021423,Home & Kitchen,2024-08-19,$39.83,1
O0015472,S0022,C009225,Fashion,2024-12-23,25.21,1
O0039794,S0056,C015356,Automotive,08/15/2024,57.0,3
O0040146,S0057,C012809,Beauty,01/23/2024,$23.55,4
O0027557,S0038,C005759,Grocery,02/04/2024,45.9,4
O0024062,S0033,C002823,Grocery,01/28/2025,25.74,4
O0015320,S0022,C011997,Fashion,2024-08-02,$27.13,4
O0009401,S0014,C003379,Books,2025-04-03,37.32,2
O0005425,S0009,C015755,Electronics,15-Jun-2025,$35.78,4
O0015930,S0022,C013615,Fashion,2025-11-05,63.5,3
O0002610,S0005,C024382,Beauty,2024-01-24,55.61,3
O0006335,S0010,C017474,Toys,2025-07-28,34.99,4
O0013328,S0019,C019405,Fashion,2024-12-10,33.49,2
O0024732,S0034,C010471,Beauty,2024-11-09,$20.47,4
O0042426,S0059,C003937,Toys,2025-09-03,35.4,3
O0030188,S0042,C012017,Toys,2025-05-25,24.03,4
O0036172,S0051,C020218,Sports,2024-06-13,75.26,1
O0033398,S0047,C022102,Home & Kitchen,2024-01-03,50.81,2
O0027122,S0037,C013824,Grocery,2024-10-16,75.31,4
O0042766,S0060,C015252,Books,2024-11-06,$144.18,3
O0006190,S0010,C007944,Toys,03/20/2025,35.14,3
O0007001,S0011,C022361,Toys,2024-12-01,60.63,4
O0012448,S0018,C012116,Sports,07/21/2024,21.86,2
O0039050,S0054,C011918,Automotive,2025-09-16,56.68,3
O0035759,S0050,,Fashion,2025-04-23,33.95,4
O0040398,S0057,C016153,Beauty,2024-09-22,17.05,3
O0010661,S0016,C013635,Pet Supplies,2024-05-12,79.49,4
O0026157,S0036,C009239,Home & Kitchen,2024-08-11,31.45,1
O0014920,S0021,C018769,Beauty,2025-09-23,31.12,1
O0027684,S0038,C001036,Grocery,2024-06-17,99.13,3
O0036908,S0052,C019650,Pet Supplies,2024-02-04,26.15,2
O0026949,S0037,C000795,Grocery,2024-03-11,25.09,1
O0038922,S0054,C013543,Automotive,2025-05-02,45.44,3
O0001272,S0003,C014730,Automotive,2024-06-01,30.56,2
O0016555,S0023,C005914,Automotive,2025-04-12,56.3,2
O0021232,S0029,C016368,Toys,2025-07-11,104.57,1
O0031707,S0045,C004309,Automotive,21-Aug-2024,131.06,4
O0007487,S0011,C001925,Toys,2025-12-08,$77.46,2
O0018823,S0027,C005397,Toys,2024-03-29,46.24,4
O0022946,S0032,C014725,Automotive,2024-04-03,63.19,1
O0030168,S0042,C017264,Toys,04/16/2025,97.74,3
O0013486,S0019,C021540,Fashion,04/22/2025,$22.23,3
O0025425,S0035,C009207,Fashion,2024-09-11,42.09,1
O0005369,S0009,C021785,Electronics,2025-03-02,$48.02,2
O0037419,S0052,C018742,Pet Supplies,2025-02-17,50.02,1
O0027752,S0038,C019766,Grocery,28-Sep-2024,31.94,2
O0042931,S0060,C021642,Books,07-Jun-2025,39.68,1
O0018609,S0026,C006106,Electronics,2025-06-13,68.12,3
O0005896,S0010,C013621,Toys,2024-08-20,59.83,1
O0009260,S0014,C018179,Books,2024-11-21,$86.73,1
O0038884,S0054,C014274,Automotive,03-May-2025,44.56,3
O0017823,S0025,C002054,Automotive,01/18/2025,36.68,4
O0031992,S0045,C013040,Automotive,2025-02-07,31.6,2
O0018379,S0026,C007246,Electronics,08/27/2024,186.62,4
O0041581,S0058,C004209,Beauty,2025-06-26,30.05,4
O0024728,S0034,C003759,Beauty,2024-11-29,39.45,1
O0022697,S0031,C002402,Home & Kitchen,2025-06-18,28.51,3
O0031629,S0045,C024625,Automotive,2024-05-31,$24.05,2
O0033081,S0046,C023607,Sports,2025-04-16,17.66,1
O0031165,S0044,C018396,Sports,2025-01-07,54.83,4
O0014541,S0021,C003431,Beauty,2024-04-16,45.95,3
O0013656,S0019,C013960,Fashion,2025-08-19,48.23,2
O0042528,S0059,C004158,Toys,2025-12-31,47.53,1
O0037523,S0052,C009557,Pet Supplies,2025-04-17,62.56,1
O0009050,S0014,C010913,Books,2024-05-24,96.88,4
O0011582,S0017,C003778,Fashion,2024-05-22,$44.36,1
O0030960,S0044,C005835,Sports,2024-04-09,42.94,2
O0001138,S0003,C002171,Automotive,2024-02-02,39.84,3
O0030653,S0043,C014114,Home & Kitchen,2024-11-19,$28.09,3
O0012014,S0017,C018224,Fashion,2025-05-28,80.47,1
O0007672,S0012,C024657,Fashion,22-Apr-2024,117.15,2
O0037510,S0052,C001895,Pet Supplies,2025-04-03,17.8,4
O0003533,S0006,C017655,Automotive,2024-07-27,40.76,1
O0010386,S0015,C016036,Grocery,10/05/2025,36.48,2
O0023677,S0032,C016163,Automotive,2025-11-29,$55.97,2
O0041432,S0058,C001348,Beauty,2025-02-07,29.55,1
O0016618,S0023,C017353,Automotive,2025-05-21,$10.71,1
O0016294,S0023,C001408,Automotive,2024-09-10,46.65,3
O0001270,S0003,C002822,Automotive,2024-06-07,104.9,3
O0025343,S0035,C002083,Fashion,2024-07-14,$55.35,1
O0028909,S0040,C006088,Electronics,2025-02-10,$27.36,2
O0038215,S0053,C003950,Books,2025-10-16,42.14,4
O0039989,S0056,C015409,Automotive,2025-06-14,58.02,4
O0012685,S0018,C020355,Sports,2025-06-02,59.65,1
O0001762,S0003,C003311,Automotive,2025-06-18,16.89,3
O0040003,S0056,,Automotive,2025-06-22,159.9,4
O0038729,S0054,C010849,Automotive,2025-01-18,55.49,1
O0007146,S0011,C024042,Toys,2025-04-26,$29.71,4
O0017300,S0024,C008198,Grocery,2025-06-10,$39.69,1
O0034741,S0049,C019012,Pet Supplies,2024-07-16,49.1,4
O0022164,S0030,C000384,Grocery,2025-08-03,$15.62,1
O0031146,S0044,C020239,Sports,2024-12-04,60.77,3
O0033939,S0048,C006979,Automotive,2024-01-02,115.86,3
O0034057,S0048,C010766,Automotive,2024-06-19,$39.06,3
O0019404,S0027,C010687,Toys,2025-10-05,53.67,1
O0015153,S0022,C020309,Fashion,2024-04-21,14.03,2
O0037483,S0052,C018046,Pet Supplies,2025-03-27,147.48,1
O0028059,S0038,C001747,Grocery,07/11/2025,61.04,3
O0000812,S0002,C016120,Home & Kitchen,2025-01-30,33.9,4
O0014915,S0021,C007274,Beauty,2025-09-26,48.96,4
O0001560,S0003,C005759,Automotive,2025-01-04,40.49,3
O0020770,S0029,C022517,Toys,2024-05-20,79.42,1
O0033088,S0046,C007060,Sports,2025-04-07,29.06,1
O0017185,S0024,C013513,Grocery,2025-01-02,57.22,3
O0003742,S0006,C002523,Automotive,2024-12-28,15.93,1
O0017497,S0025,C009556,Automotive,03/01/2024,49.02,2
O0032919,S0046,C022102,Sports,12/19/2024,37.15,2
O0012388,S0018,C021405,Sports,05/01/2024,38.95,2
O0027217,S0037,C024264,Grocery,2025-01-22,96.43,4
O0001713,S0003,C000379,Automotive,2025-05-14,73.02,2
O0018277,S0026,C005791,Electronics,2024-03-30,72.37,3
O0010015,S0015,C024253,Grocery,22-Oct-2024,46.77,2
O0011106,S0016,C007920,Pet Supplies,2025-05-11,128.18,4
O0005857,S0010,C012551,Toys,22-Jul-2024,116.78,1
O0029476,S0041,C018420,Automotive,22-Jul-2025,65.11,1
O0028447,S0039,C024870,Automotive,2025-03-07,14.31,2
O0001046,S0002,C014723,Home & Kitchen,2025-11-18,57.75,1
O0033500,S0047,C006426,Home & Kitchen,06/18/2024,42.85,3
O0006266,S0010,C017289,Toys,2025-05-01,51.88,3
O0040650,S0057,C001281,Beauty,14-Apr-2025,$51.86,1
O0042329,S0059,C015370,Toys,2025-05-23,34.25,2
O0012681,S0018,C010326,Sports,2025-05-01,86.95,3
O0032767,S0046,C021004,Sports,08/01/2024,$48.50,1
O0041943,S0059,C002976,Toys,2024-04-07,45.11,1
O0041283,S0058,C010773,Beauty,10/26/2024,$63.41,1
O0014976,S0021,C020369,Beauty,2025-11-10,56.75,1
O0034421,S0048,C003491,Automotive,2025-07-03,131.02,2
O0009818,S0015,C018097,Grocery,2024-04-26,63.49,2
O0017027,S0024,C006207,Grocery,2024-06-18,$114.81,4
O0021701,S0030,C003741,Grocery,2024-08-14,72.14,1
O0028688,S0040,C007638,Electronics,2024-05-28,74.45,1
